location_id,business_date,orders,gross_cents,refund_cents,labor_minutes,completed_jobs,on_time_jobs
L0001,2025-01-01,223,625069,23841,1561,197,170
L0001,2025-01-02,203,387324,14417,1421,189,172
L0001,2025-01-03,224,549472,11160,896,213,187
L0001,2025-01-04,230,737840,30488,1380,216,200
L0001,2025-01-05,276,1195908,25441,1104,271,257
L0001,2025-01-06,169,465257,10285,1014,165,155
L0001,2025-01-07,184,819536,27515,1288,158,150
L0001,2025-01-08,214,873334,17111,642,188,166
L0001,2025-01-09,180,742140,14220,1080,176,159
L0001,2025-01-10,182,746018,28808,1092,169,165
L0001,2025-01-11,245,532140,23281,980,236,221
L0001,2025-01-12,232,862344,41995,696,215,203
L0001,2025-01-13,225,718425,17648,1350,195,166
L0001,2025-01-14,224,868896,38382,1120,221,214
L0001,2025-01-15,176,699072,22337,1056,173,148
L0001,2025-01-16,187,380919,11630,561,165,142
L0001,2025-01-17,225,523125,24905,900,213,189
L0001,2025-01-18,247,647881,14872,1235,236,215
L0001,2025-01-19,228,959652,30210,684,212,182
L0001,2025-01-20,232,484880,8501,1392,215,189
L0001,2025-01-21,201,751137,10192,603,195,184
L0001,2025-01-22,167,747492,7048,1002,166,158
L0001,2025-01-23,206,489044,8575,824,188,183
L0001,2025-01-24,170,760070,32395,510,169,166
L0001,2025-01-25,216,743472,9225,648,212,209
L0001,2025-01-26,236,961936,25876,944,224,200
L0001,2025-01-27,223,453582,12000,1561,191,167
L0001,2025-01-28,211,582993,27617,1477,192,170
L0001,2025-01-29,210,827610,13850,1050,188,166
L0001,2025-01-30,188,394236,12991,1316,160,158
L0001,2025-01-31,238,495278,10712,952,233,212
L0001,2025-02-01,274,1086684,45390,1370,233,228
L0001,2025-02-02,282,1146612,20271,1128,246,234
L0001,2025-02-03,202,405616,9759,1010,174,149
L0001,2025-02-04,176,635184,15401,528,164,142
L0001,2025-02-05,165,546480,6374,660,154,132
L0001,2025-02-06,166,541990,8796,498,146,131
L0001,2025-02-07,223,617487,30213,892,218,212
L0001,2025-02-08,286,805376,32563,858,254,230
L0001,2025-02-09,284,917888,37441,1136,254,224
L0001,2025-02-10,168,494424,13806,1176,151,135
L0001,2025-02-11,210,606270,19307,1050,179,170
L0001,2025-02-12,194,807234,5649,1164,170,145
L0001,2025-02-13,223,581361,4737,1115,201,188
L0001,2025-02-14,204,708288,25764,1428,183,159
L0001,2025-02-15,283,1222843,28460,849,264,236
L0001,2025-02-16,226,815634,11922,1356,207,199
L0001,2025-02-17,185,812520,7477,740,174,164
L0001,2025-02-18,182,681772,26986,1092,171,155
L0001,2025-02-19,203,568197,20423,609,177,170
L0001,2025-02-20,200,816600,35257,1200,177,154
L0001,2025-02-21,188,679056,25375,1316,177,161
L0001,2025-02-22,279,1016397,16390,1395,247,236
L0001,2025-02-23,202,599940,12067,1414,178,153
L0001,2025-02-24,180,629820,18528,1080,164,141
L0001,2025-02-25,239,449320,17726,1434,233,214
L0001,2025-02-26,235,826260,31446,1645,218,213
L0001,2025-02-27,194,670464,28711,776,185,183
L0001,2025-02-28,216,462888,5141,1296,204,179
L0001,2025-03-01,228,764256,36535,1368,203,180
L0001,2025-03-02,292,944036,7635,876,258,247
L0001,2025-03-03,175,405475,4115,700,161,147
L0001,2025-03-04,241,546829,6764,1205,232,201
L0001,2025-03-05,240,821760,11443,1680,237,224
L0001,2025-03-06,231,983829,40170,1617,224,215
L0001,2025-03-07,203,648991,15513,1218,172,149
L0001,2025-03-08,264,945912,26938,1320,231,216
L0001,2025-03-09,275,1162150,50353,825,244,217
L0001,2025-03-10,217,689409,29846,868,185,170
L0001,2025-03-11,211,618441,17470,844,196,169
L0001,2025-03-12,218,969010,24388,654,208,180
L0001,2025-03-13,210,784980,16068,1470,195,175
L0001,2025-03-14,172,445136,17106,688,154,135
L0001,2025-03-15,269,1141636,10873,1076,240,214
L0001,2025-03-16,207,411102,12292,828,206,193
L0001,2025-03-17,185,695600,9249,555,169,150
L0001,2025-03-18,202,840926,6233,808,190,183
L0001,2025-03-19,208,728832,29578,832,195,187
L0001,2025-03-20,210,746760,24603,1470,188,185
L0001,2025-03-21,184,392288,5030,552,160,140
L0001,2025-03-22,198,590040,21616,1188,189,163
L0001,2025-03-23,252,657720,19406,1008,230,225
L0001,2025-03-24,187,772497,19128,1122,184,174
L0001,2025-03-25,202,430058,19363,1010,189,177
L0001,2025-03-26,232,975328,48748,1160,230,214
L0001,2025-03-27,198,581922,18237,1188,173,171
L0001,2025-03-28,171,420318,15222,855,153,144
L0001,2025-03-29,203,575099,27983,1218,182,177
L0001,2025-03-29,203,575099,27983,1218,182,177
L0001,2025-03-30,240,485280,10327,1440,210,197
L0001,2025-03-31,238,855372,22934,714,233,230
L0001,2025-04-01,207,840834,12706,621,188,172
L0001,2025-04-02,221,858364,20341,1326,211,208
L0001,2025-04-03,237,919797,10249,711,227,202
L0001,2025-04-04,204,369240,6807,1428,182,169
L0001,2025-04-05,242,764962,22531,1452,225,221
L0001,2025-04-06,232,807824,31111,1392,198,179
L0001,2025-04-07,203,396053,19185,1015,176,171
L0001,2025-04-08,200,478000,16474,800,182,157
L0001,2025-04-09,195,414960,17991,1365,190,172
L0001,2025-04-10,233,453651,7061,1165,219,217
L0001,2025-04-11,214,473154,17142,642,196,168
L0001,2025-04-12,209,830775,29643,836,190,166
L0001,2025-04-13,218,912984,23511,1090,189,173
L0001,2025-04-14,186,751068,18685,930,162,160
L0001,2025-04-15,199,604363,13484,1194,175,151
L0001,2025-04-16,219,413691,14322,1095,218,186
L0001,2025-04-17,236,904824,41289,944,230,215
L0001,2025-04-18,217,976500,10893,651,206,201
L0001,2025-04-19,251,586838,10727,1506,216,189
L0001,2025-04-20,247,720252,11930,1482,240,237
L0001,2025-04-21,200,421600,20444,1200,174,171
L0001,2025-04-22,164,655508,14150,820,142,132
L0001,2025-04-23,181,344262,16333,905,170,166
L0001,2025-04-24,236,716732,7347,708,223,219
L0001,2025-04-25,234,551070,11956,1638,212,193
L0001,2025-04-26,205,779820,36852,1025,193,165
L0001,2025-04-27,278,613268,13204,1390,277,238
L0001,2025-04-28,229,498075,16873,1603,217,214
L0001,2025-04-29,226,596640,23527,904,194,181
L0001,2025-04-30,226,958466,41816,904,192,190
L0001,2025-05-01,233,544987,22099,932,198,185
L0001,2025-05-02,197,446205,11794,985,189,174
L0001,2025-05-03,199,895102,22925,597,184,158
L0001,2025-05-04,243,878688,7588,1701,209,182
L0001,2025-05-05,220,739200,21344,1320,219,202
L0001,2025-05-06,216,876528,12864,1296,206,201
L0001,2025-05-07,222,683760,23884,1110,202,199
