location_id,business_date
L0001,2025-01-01
L0001,2025-01-02
L0001,2025-01-03
L0001,2025-01-04
L0001,2025-01-05
L0001,2025-01-06
L0001,2025-01-07
L0001,2025-01-08
L0001,2025-01-09
L0001,2025-01-10
L0001,2025-01-11
L0001,2025-01-12
L0001,2025-01-13
L0001,2025-01-14
L0001,2025-01-15
L0001,2025-01-16
L0001,2025-01-17
L0001,2025-01-18
L0001,2025-01-19
L0001,2025-01-20
L0001,2025-01-21
L0001,2025-01-22
L0001,2025-01-23
L0001,2025-01-24
L0001,2025-01-25
L0001,2025-01-26
L0001,2025-01-27
L0001,2025-01-28
L0001,2025-01-29
L0001,2025-01-30
L0001,2025-01-31
L0001,2025-02-01
L0001,2025-02-02
L0001,2025-02-03
L0001,2025-02-04
L0001,2025-02-05
L0001,2025-02-06
L0001,2025-02-07
L0001,2025-02-08
L0001,2025-02-09
L0001,2025-02-10
L0001,2025-02-11
L0001,2025-02-12
L0001,2025-02-13
L0001,2025-02-14
L0001,2025-02-15
L0001,2025-02-16
L0001,2025-02-17
L0001,2025-02-18
L0001,2025-02-19
L0001,2025-02-20
L0001,2025-02-21
L0001,2025-02-22
L0001,2025-02-23
L0001,2025-02-24
L0001,2025-02-25
L0001,2025-02-26
L0001,2025-02-27
L0001,2025-02-28
L0001,2025-03-01
L0001,2025-03-02
L0001,2025-03-03
L0001,2025-03-04
L0001,2025-03-05
L0001,2025-03-06
L0001,2025-03-07
L0001,2025-03-08
L0001,2025-03-09
L0001,2025-03-10
L0001,2025-03-11
L0001,2025-03-12
L0001,2025-03-13
L0001,2025-03-14
L0001,2025-03-15
L0001,2025-03-16
L0001,2025-03-17
L0001,2025-03-18
L0001,2025-03-19
L0001,2025-03-20
L0001,2025-03-21
L0001,2025-03-22
L0001,2025-03-23
L0001,2025-03-24
L0001,2025-03-25
L0001,2025-03-26
L0001,2025-03-27
L0001,2025-03-28
L0001,2025-03-29
L0001,2025-03-30
L0001,2025-03-31
L0001,2025-04-01
L0001,2025-04-02
L0001,2025-04-03
L0001,2025-04-04
L0001,2025-04-05
L0001,2025-04-06
L0001,2025-04-07
L0001,2025-04-08
L0001,2025-04-09
L0001,2025-04-10
L0001,2025-04-11
L0001,2025-04-12
L0001,2025-04-13
L0001,2025-04-14
L0001,2025-04-15
L0001,2025-04-16
L0001,2025-04-17
L0001,2025-04-18
L0001,2025-04-19
L0001,2025-04-20
L0001,2025-04-21
L0001,2025-04-22
L0001,2025-04-23
L0001,2025-04-24
L0001,2025-04-25
L0001,2025-04-26
L0001,2025-04-27
L0001,2025-04-28
L0001,2025-04-29
L0001,2025-04-30
L0001,2025-05-01
L0001,2025-05-02
L0001,2025-05-03
L0001,2025-05-04
L0001,2025-05-05
L0001,2025-05-06
L0001,2025-05-07
L0001,2025-05-08
L0001,2025-05-09
L0001,2025-05-10
L0001,2025-05-11
L0001,2025-05-12
L0001,2025-05-13
L0001,2025-05-14
L0001,2025-05-15
L0001,2025-05-16
L0001,2025-05-17
L0001,2025-05-18
L0001,2025-05-19
L0001,2025-05-20
L0001,2025-05-21
L0001,2025-05-22
L0001,2025-05-23
L0001,2025-05-24
L0001,2025-05-25
L0001,2025-05-26
L0001,2025-05-27
L0001,2025-05-28
L0001,2025-05-29
L0001,2025-05-30
L0001,2025-05-31
L0001,2025-06-01
L0001,2025-06-02
L0001,2025-06-03
L0001,2025-06-04
L0001,2025-06-05
L0001,2025-06-06
L0001,2025-06-07
L0001,2025-06-08
L0001,2025-06-09
L0001,2025-06-10
L0001,2025-06-11
L0001,2025-06-12
L0001,2025-06-13
L0001,2025-06-14
L0001,2025-06-15
L0001,2025-06-16
L0001,2025-06-17
L0001,2025-06-18
L0001,2025-06-19
L0001,2025-06-20
L0001,2025-06-21
L0001,2025-06-22
L0001,2025-06-23
L0001,2025-06-24
L0001,2025-06-25
L0001,2025-06-26
L0001,2025-06-27
L0001,2025-06-28
L0001,2025-06-29
L0002,2025-01-01
L0002,2025-01-02
L0002,2025-01-03
L0002,2025-01-04
L0002,2025-01-05
