location_id,region
L0001,East
L0002,South
L0003,West
L0004,Central
L0005,East
L0006,South
L0007,West
L0008,Central
L0009,East
L0010,South
L0011,West
L0012,Central
L0013,East
L0014,South
L0015,West
L0016,Central
L0017,East
L0018,South
L0019,West
L0020,Central
L0021,East
L0022,South
L0023,West
L0024,Central
L0025,East
L0026,South
L0027,West
L0028,Central
L0029,East
L0030,South
L0031,West
L0032,Central
L0033,East
L0034,South
L0035,West
L0036,Central
L0037,East
L0038,South
L0039,West
L0040,Central
L0041,East
L0042,South
L0043,West
L0044,Central
L0045,East
L0046,South
L0047,West
L0048,Central
L0049,East
L0050,South
L0051,West
L0052,Central
L0053,East
L0054,South
L0055,West
L0056,Central
L0057,East
L0058,South
L0059,West
L0060,Central
L0061,East
L0062,South
L0063,West
L0064,Central
L0065,East
L0066,South
L0067,West
L0068,Central
L0069,East
L0070,South
L0071,West
L0072,Central
L0073,East
L0074,South
L0075,West
L0076,Central
L0077,East
L0078,South
L0079,West
L0080,Central
L0081,East
L0082,South
L0083,West
L0084,Central
L0085,East
L0086,South
L0087,West
L0088,Central
L0089,East
L0090,South
L0091,West
L0092,Central
L0093,East
L0094,South
L0095,West
L0096,Central
L0097,East
L0098,South
L0099,West
L0100,Central
L0101,East
L0102,South
L0103,West
L0104,Central
L0105,East
L0106,South
L0107,West
L0108,Central
L0109,East
L0110,South
L0111,West
L0112,Central
L0113,East
L0114,South
L0115,West
L0116,Central
L0117,East
L0118,South
L0119,West
L0120,Central
L0121,East
L0122,South
L0123,West
L0124,Central
L0125,East
L0126,South
L0127,West
L0128,Central
L0129,East
L0130,South
L0131,West
L0132,Central
L0133,East
L0134,South
L0135,West
L0136,Central
L0137,East
L0138,South
L0139,West
L0140,Central
L0141,East
L0142,South
L0143,West
L0144,Central
L0145,East
L0146,South
L0147,West
L0148,Central
L0149,East
L0150,South
L0151,West
L0152,Central
L0153,East
L0154,South
L0155,West
L0156,Central
L0157,East
L0158,South
L0159,West
L0160,Central
L0161,East
L0162,South
L0163,West
L0164,Central
L0165,East
L0166,South
L0167,West
L0168,Central
L0169,East
L0170,South
L0171,West
L0172,Central
L0173,East
L0174,South
L0175,West
L0176,Central
L0177,East
L0178,South
L0179,West
L0180,Central
L0181,East
L0182,South
L0183,West
L0184,Central
L0185,East
L0186,South
L0187,West
L0188,Central
L0189,East
L0190,South
L0191,West
L0192,Central
L0193,East
L0194,South
L0195,West
L0196,Central
L0197,East
L0198,South
L0199,West
L0200,Central
L0201,East
L0202,South
L0203,West
L0204,Central
L0205,East
L0206,South
L0207,West
L0208,Central
L0209,East
L0210,South
L0211,West
L0212,Central
L0213,East
L0214,South
L0215,West
L0216,Central
L0217,East
L0218,South
L0219,West
L0220,Central
L0221,East
L0222,South
L0223,West
L0224,Central
L0225,East
L0226,South
L0227,West
L0228,Central
L0229,East
L0230,South
L0231,West
L0232,Central
L0233,East
L0234,South
L0235,West
L0236,Central
L0237,East
L0238,South
L0239,West
L0240,Central
L0241,East
L0242,South
L0243,West
L0244,Central
L0245,East
L0246,South
L0247,West
L0248,Central
L0249,East
L0250,South
