location_id,business_date,reason
L0001,2025-03-29,REJECTED_SOURCE
L0001,2025-06-15,NO_SOURCE_ROW
L0002,2025-02-05,REJECTED_SOURCE
L0002,2025-02-07,NO_SOURCE_ROW
L0002,2025-03-22,REJECTED_SOURCE
L0003,2025-01-16,REJECTED_SOURCE
L0003,2025-03-25,REJECTED_SOURCE
L0003,2025-06-20,NO_SOURCE_ROW
L0004,2025-02-09,NO_SOURCE_ROW
L0004,2025-03-15,NO_SOURCE_ROW
L0004,2025-03-30,NO_SOURCE_ROW
L0004,2025-04-07,REJECTED_SOURCE
L0004,2025-04-16,REJECTED_SOURCE
L0004,2025-04-28,REJECTED_SOURCE
L0004,2025-05-15,REJECTED_SOURCE
L0004,2025-06-25,REJECTED_SOURCE
L0005,2025-02-17,REJECTED_SOURCE
L0005,2025-04-08,REJECTED_SOURCE
L0005,2025-05-16,REJECTED_SOURCE
L0005,2025-06-17,NO_SOURCE_ROW
L0006,2025-01-05,REJECTED_SOURCE
L0006,2025-01-10,NO_SOURCE_ROW
L0006,2025-03-13,REJECTED_SOURCE
L0006,2025-04-05,NO_SOURCE_ROW
L0006,2025-04-07,REJECTED_SOURCE
L0006,2025-04-30,NO_SOURCE_ROW
L0006,2025-05-05,NO_SOURCE_ROW
L0006,2025-05-11,NO_SOURCE_ROW
L0007,2025-01-06,REJECTED_SOURCE
L0007,2025-01-16,REJECTED_SOURCE
L0007,2025-02-02,REJECTED_SOURCE
L0007,2025-02-19,REJECTED_SOURCE
L0007,2025-03-09,REJECTED_SOURCE
L0007,2025-03-13,NO_SOURCE_ROW
L0007,2025-05-21,NO_SOURCE_ROW
L0007,2025-06-18,NO_SOURCE_ROW
L0007,2025-06-25,REJECTED_SOURCE
L0008,2025-01-24,REJECTED_SOURCE
L0008,2025-02-07,NO_SOURCE_ROW
L0008,2025-03-08,REJECTED_SOURCE
L0008,2025-04-29,NO_SOURCE_ROW
L0009,2025-02-07,REJECTED_SOURCE
L0009,2025-02-27,NO_SOURCE_ROW
L0009,2025-03-08,NO_SOURCE_ROW
L0009,2025-03-12,NO_SOURCE_ROW
L0009,2025-03-19,REJECTED_SOURCE
L0009,2025-05-06,REJECTED_SOURCE
L0009,2025-06-05,REJECTED_SOURCE
L0010,2025-01-16,REJECTED_SOURCE
L0010,2025-02-09,REJECTED_SOURCE
L0010,2025-02-26,NO_SOURCE_ROW
L0010,2025-03-04,NO_SOURCE_ROW
L0010,2025-03-07,NO_SOURCE_ROW
L0010,2025-03-10,REJECTED_SOURCE
L0010,2025-04-14,REJECTED_SOURCE
L0010,2025-05-04,REJECTED_SOURCE
L0010,2025-05-17,REJECTED_SOURCE
L0010,2025-06-13,NO_SOURCE_ROW
L0010,2025-06-24,REJECTED_SOURCE
L0011,2025-01-16,NO_SOURCE_ROW
L0011,2025-01-28,NO_SOURCE_ROW
L0011,2025-02-02,REJECTED_SOURCE
L0011,2025-04-07,REJECTED_SOURCE
L0011,2025-04-21,REJECTED_SOURCE
L0011,2025-06-11,NO_SOURCE_ROW
L0012,2025-01-05,REJECTED_SOURCE
L0012,2025-02-18,NO_SOURCE_ROW
L0012,2025-03-04,REJECTED_SOURCE
L0012,2025-06-12,REJECTED_SOURCE
L0013,2025-01-11,NO_SOURCE_ROW
L0013,2025-01-28,REJECTED_SOURCE
L0013,2025-02-12,NO_SOURCE_ROW
L0013,2025-02-23,NO_SOURCE_ROW
L0013,2025-03-15,NO_SOURCE_ROW
L0013,2025-05-07,NO_SOURCE_ROW
L0013,2025-05-08,REJECTED_SOURCE
L0013,2025-06-20,NO_SOURCE_ROW
L0014,2025-02-07,NO_SOURCE_ROW
L0014,2025-02-22,NO_SOURCE_ROW
L0014,2025-04-12,REJECTED_SOURCE
L0014,2025-04-18,REJECTED_SOURCE
L0014,2025-04-26,NO_SOURCE_ROW
L0014,2025-05-19,REJECTED_SOURCE
L0014,2025-05-24,REJECTED_SOURCE
L0014,2025-05-31,NO_SOURCE_ROW
L0014,2025-06-05,REJECTED_SOURCE
